Summary,Sentiment,Rate
this tv is so outdated 1 gb ram is not enough to run apps smoothly picture quality is good in fhd but in this rate one can buy a 4k tv in other brands,negative,1.0
remote is not working it has only 10 days i just used,negative,1.0
its waste of moneyutensil are not cleaningall detergent remain in disheswhite marks also appears,negative,1.0
the device is not good for new user very tough to connect it with wifi and it is not portable at all,negative,1.0
this powred contains dust particalswhen you prepared a cake and eat you feel muddy dusty particals while chewing or eatingnot worth buying,negative,1.0
avaragedoesnt have wifi offon buttonquality is moderate not that great,negative,3.0
no last long till one hour too no one smells the nearby persons too as said in the video,negative,1.0
i give to you 2 star beacause of the price the same price is much cheaper than the seller selling,negative,2.0
for filter they charged 1200 worst maintainence is too high never go with this,negative,1.0
sound is awesome and so is the basseverything is just so smooththe only negative is that blutooth range is not that good blutooth works fine till u are roaming within 2 rooms,negative,4.0
hated it flipkart 2 sided thought but it came 1 sided,negative,1.0
very disappointed not working properly u have to rotate continuesly to start grinding so dont purchase,negative,2.0
worked for 3 weeks and then suddenly stopped workinguseless product please dont buy,negative,2.0
no use its not working i request all of you dont buy this,negative,1.0
worst quality product also i need to spend 500rs extra room assemble and allign its wheels wheel allignment is improper and the tyre quality is very poor,negative,1.0
smell good not long lasting and less in quantity at high price not recommended to buy,negative,1.0
terrible pls provide some lengthy and easy to attach rods for connecting such a menace to assemble it will really test your patience,negative,1.0
not bad medium quality not so super or very bd,negative,3.0
horrible experience instead cleaning all utensils become white after washing despite of complaint and several follow ups no response from voltas,negative,1.0
very bad quality as it was dried and was not in usable condition,negative,1.0
nice product used since last 6 months no problem is found,negative,5.0
very poor tvsound very bad installation and demo badmoney waste,negative,1.0
waste ball if u play some what roughly it will be punchred,negative,1.0
worst of money1 camera quality is to poor2battery charging is too slow3video quality average,negative,1.0
wire length is very low and kettle is not fitted to the bottom part,negative,2.0
i am giving this product three star because all over it is a good product but in the kit when ever i ordered it something of the kit would be of bad quality,negative,3.0
very bad product no work waste 190 rupees no work on mobile and no work in pc its fake product,negative,1.0
very bad product only in one day battery was flourishnever buy any product from flipkart,negative,1.0
its a very bad product it has serious connectivity issue i want to return it but the return button is not working it took back me to the front page everytime,negative,1.0
its not working on mixer grinder its just only 500watt inverter showing overload,negative,1.0
shows inaccurate resultsit showed positive and as a result entire family was in stress next day went for rtpcr and it showed negative,negative,1.0
very very bad product dont purchase i purchased after seeing the rating but found wastage of money,negative,1.0
very bad product dnt go with customer review i m regretting third class engineered wood dnt buy flipkart perfect homes beware,negative,1.0
its very tipcial laptop dont give ms office with laptop,negative,2.0
very bad qualityonly after 12 months of use it get damaged,negative,1.0
extra additional 1500 i pay that person flipkart kent 1 l i am purchasing 10900 but extra install installing person extra fitting 1500 not comfortable feeding very,negative,1.0
stop to work with in work has manufacturing defect company not provide amc to know this i am surprised after one what will be i am affried,negative,1.0
not very good product after 20 days its one speaker doesnt work,negative,3.0
i have waited for 15 min and it is not showing any result and i tried to scan the qr code on the device but it is showing as invalid,negative,1.0
sometime camera missing person detection cam quality not satisfying on high resolution,negative,2.0
this product is good but delivery system failed for this item,negative,3.0
not cover much surface area as shown in product image nearly cover 2x2 sq ft light atra,negative,1.0
very low quality than they mentioned not worth of the cost,negative,2.0
really difficult to insert the rods fixing the organiser is such a pain in the neck,negative,1.0
product is good but the installation is bad since they were asking more money and not polite,negative,4.0
worst clock stoped moving just after a week so dont go for it,negative,1.0
i purchased this device a week ago iterface is good but device keep restarting sometimes iam unable to understand its problem,negative,1.0
blades are not sharpen at all dont waste your money very bad product dont purchase it,negative,1.0
the product went defective withing 2 wks of purchasejust not recommendedver cheap stuff,negative,1.0
it does not have light indicator so we are facing difficult to find wether the heater is on or off,negative,3.0
selves are broken automatically didnt expected this quality from samsung,negative,2.0
tablet is decent for price no 35mm jack is totally disappointment,negative,2.0
dont buy it no battery bachup even after charging for 4 hours worst,negative,1.0
igot second time plug led light and i thought it is not 10mtr long very bad experience,negative,1.0
it didnt given even 15 copies i didnt see worst product like this,negative,1.0
totely faltu item please dont bye it waste of money,negative,1.0
i have received damaged products and still waiting for replacement,negative,1.0
the kit had the antigen liquid dried up we could not use it for testing and it was completely waste of money,negative,1.0
product shown with very good quality but actually quality is very poor,negative,1.0
one block for partition is small and cannot be fitted,negative,3.0
very bad product not recommend at allwaste of mony dont buy it,negative,1.0
cemera is very badspeed is excellentstorage is very lessfor gaming excellentbut only for study purpose go for samsung they give spen inside the box for free but in ipad you need to waste another 8k,negative,4.0
exhaust pipe pvc material description not mention and installation charges asking rs2000,negative,1.0
device internally making tak tak tak noises on starting it delivered without proper quality check unexpected way of product from voltasextremely disappointed,negative,2.0
my experience with this product has been very poor and the body has melted after 5 to 7 minutes of use thats why i want to refund,negative,1.0
product was good but worst service from flipkart poor delivery experience,negative,3.0
very poor printing very bad worst ever very bad didnt expect this rubbish product from flipcart,negative,1.0
poor quality it works 12day properly dont buy waste of money dont buy it singer is not a good quality product there is no demo and installation of it,negative,1.0
very bad quality i think provide replaced tv is dead in 1 one month no repair service provide by mi and flipkart dont purchase product from here,negative,1.0
does not fast charge any item at all not even 15w tablet,negative,1.0
quality was not good inner part came off after one week its not even dropped once,negative,1.0
low quality plastic is used in this productplastic broken while assembling,negative,1.0
low quality product and alignment between pieces also not great,negative,2.0
from the first day giving issue in connecting to wifi first we think that issue is with particular pcs but even after exchange same issue is facing with exchanged one disappointed with this model,negative,1.0
its bulky and does not fit properly there is no return policy so think twice before buying,negative,1.0
it is best for the given price but not satisfied with its machine performancr,negative,1.0
spend extra 200 to 500 rs and buy phillips or other brandthis makes too much noiseyou will definitely regret if you buy this noisy motor,negative,1.0
the rc car is ok the speed is not that much fast it is very low speed,negative,2.0
battery was not providedrange of remote is not sufficient as per given in detailnot running properly,negative,1.0
my geyser stopped working only after 2 days of installation which was later repaired by bajaj technician for which i need not pay any changes due to warranty however it was horrible experience,negative,1.0
in three months it didnt work i got a replacement after claiming warranty the process was so easy and seamless after all but the quality of the replaced product doesnt seem like original one,negative,3.0
remote not working at alll one month use dont try this cheap product,negative,1.0
bed watch in price high price leather quality lowi am not happy return flipkart,negative,5.0
wastege of money not a good quality refund the money,negative,1.0
this is not water resistant i am used one weak display not working,negative,1.0
heating time is more than 20 minutes hot water did not remain hot after 1 hour,negative,2.0
the material of wood is low quality self installation which is very difficult,negative,1.0
1 display is not clear as shown in picture 2 no analog type dial support 3 cant rely on reading like heart rate monitoring etc not accurate 4 waste of money,negative,1.0
ok but after some time it take egg shape if you are putting your money then get something good then this now its all your choice,negative,2.0
good product but worst installation and demo service the installation guy doesnt know anything about the refrigerator,negative,5.0
most cheapest product i have ever received never buy this product could have thrown to a garbage,negative,1.0
not even a month into buying it and its already showing issues from my search online i see its drivers are faulty and need a replacement avoid if you can,negative,2.0
overall looking good but had many scratch at the time of delivery itself quality is not that great but okay kind of thing,negative,3.0
product not same as on photo dont buy it very thin and worst quality,negative,1.0
not my choice went with dyson v12 nowhere eureka is match with dyson,negative,1.0
voice not clearvery poor total west of money please dont buy,negative,1.0
all are broken item i returned it but exchange item are also broken waste of money price is to high,negative,1.0
third class product never buy itand there is no return policy seen after buy it,negative,1.0
not a product good in every side very bad item,negative,1.0
very poor qualityi request dont buy this flipkart team dont refer thiswe believe flipkartnot items,negative,1.0
